1,MIAC Championships,2009,"Como Park Golf Course, St. Paul"
2,MIAC Championships,2010,"Como Park Golf Course, St. Paul"
3,MIAC Championships,2011,"Como Park Golf Course, St. Paul"
4,MIAC Championships,2012,"Como Park Golf Course, St. Paul"
5,MIAC Championships,2013,"Como Park Golf Course, St. Paul"
6,MIAC Championships,2014,"Como Park Golf Course, St. Paul"
7,MIAC Championships,2015,"Como Park Golf Course, St. Paul"
8,MIAC Championships,2016,"Como Park Golf Course, St. Paul"
9,MIAC Championships,2017,"St. Olaf College, Northfield"
10,MIAC Championships,2018,"St. Olaf College, Northfield"
11,MIAC Championships,2019,"Carleton College, Northfield"
